"is_char","char_type","next_word","text"
True,"hero","daisy","ine . 22 cal . rifles , 1000 shot"
True,"hero","ghost","plas are you sure you ainit a"
True,"hero","sneak","they think theyive seen the last of me but they donit know itis only the beginning now to find woozy and plan a"
True,"hero","hood","i wonder what plastic man was all upset about trouble with plas is hels always being so muscular in dealing with people like studsy sykes now if i were handling a"
True,"hero","lucky","don ' t make me laugh this caper was strictly for the bank loot ! i heard about the job you pulled and then i was"
True,"hero","sneak","this place has dressing rooms in it ! ill"
True,"hero","hand","sure sure ! i didnt mean to be harsh with her but the thing that gets me is losing rocky when i practically had him in the palm of my"
True,"hero","face","o be specific i suspected t as soon as i noticed the actors grease paint on my alm it came off when i atted poor grandma ' s"
True,"hero","lightning","they teach us thoroughness at the f . b i searched the records first and found that rocky had once been a"
True,"hero","atlas","one hand is as good as two when you ' re an"
True,"hero","atlas","be proud of , packed red muscle - mighty legs that never you ' ll be with vitality ! you ' re a new man ! "" dynamic tension ."" that ' s the secret ! free book that ' s how i changed myself from a crawny , 97 - pound weakling to winner thousands of fellows have of the title , "" world ' s most perfectly system . read what they say developed man ."" they look before and after - in "" dynamic tension "" does it ! "" everlasting health and stren using "" dynamic tension only 15 min send now for this book . utes a day , in the privacy of your own tells all about "" dynamic tensic oom , you quickly begin to put on muscle . you actual photos of ncrease your chest size , broaden your men i ' ve turned from back , fill out your arms and legs . this puny weaklings into easy , natural method will make you atlas champions it a finer specimen of real manhood tells how i can do the han you ever dreamed you could be ! same for you . don ' t you get results fast put it off ! address me personally , charles almost before you realize it , you will"
True,"hero","target","it ' s here , boys and girls - your copy of daisy air with the most exciting news in all air rifle history ! this brightly colored , handy pocket book tells how easy it is for air rifle owners to join the oldest , largest national sportsmen ' s association in the united states - the internationally famous national rifle association of america as an active junior member shows how you can wear the nra brassard , carry the nra member - ship card , own and enjoy the nra junior rifle handbook ! daisy air rifleman explains how you can qualify to earn six markmanship medals , 6 brassards , 6 la pel pins and get 6 free proficiency diplomas ! also diagrams new 15 foot target backstop , new official nra air rifle"
True,"hero","daisy","hem a chance to shoot arn safety through skill pervisor of a junior patrol of 3 to 10 air hooters including your own . you ' ll enjoy it . you not be a crack shot . see coupon . sponsor a junior club of 10 or fraternal organizations , churches , conservation and rod clubs , municipal recreation and departments , ised juvenile clubs , veterans , others , use coupon . s and girls ! rush coupon , dime ( 10 coin ), unused mp to us now for exciting new daisy air rifleman"
True,"hero","hand",""" i have been operat - ing my own servicing business . in two years i did $ 14 , 000 worth of business net profit $ 6 . 850 . have one full time employee an n . r . i . student . phillip g brogan , louisville 8 , ky . "" four years ago , i was & bookkeeper with a"
